,time,time_numeric,web_response,throughput,apdex,error,web_responce_labels,thoughput_labels,apdex_labels,error_labels
0,2024-04-15T23:32:00,28812932,0.00772169394561314,3898,0.999679322729605,0.00012827090815803,0,0,0,0
1,2024-04-15T23:33:00,28812933,0.00836333733248245,3917.5,0.999744735162731,0.000127632418634333,0,0,0,0
2,2024-04-15T23:34:00,28812934,0.00870931029301277,3993,0.999686952166291,0,0,0,0,0
3,2024-04-15T23:35:00,28812935,0.00828573268194914,3991.5,0.999812100714017,0,0,0,0,0
4,2024-04-15T23:36:00,28812936,0.0108736432128719,3915.5,0.999489209551781,0,0,0,0,0
5,2024-04-15T23:37:00,28812937,0.0122653220425969,3897,0.999166025147549,0.000128303823453939,0,0,0,0
6,2024-04-15T23:38:00,28812938,0.0098607061180871,3743,0.998998129842372,0.000534330750734705,0,0,0,0
7,2024-04-15T23:39:00,28812939,0.00851730947483889,3646.5,0.999245852187029,0.000411353352529823,0,0,0,0
8,2024-04-15T23:40:00,28812940,0.00793540702702703,3700,0.999797297297297,0,0,0,0,0
9,2024-04-15T23:41:00,28812941,0.00848114877384196,3670,0.999863760217984,0,0,0,0,0
10,2024-04-15T23:42:00,28812942,0.00909058857142857,3500,0.999642857142857,0.000285714285714286,0,0,0,0
11,2024-04-15T23:43:00,28812943,0.00955546284562212,3472,0.998919930875576,0.000576036866359447,0,0,0,0
12,2024-04-15T23:44:00,28812944,0.0100268941783768,3487,0.998852882133639,0.000286779466590192,0,0,0,0
13,2024-04-15T23:45:00,28812945,0.00947109867452136,3395,0.999116347569956,0,0,0,0,0
14,2024-04-15T23:46:00,28812946,0.00892489147286822,3354,0.999180083482409,0.000149075730471079,0,0,0,0
15,2024-04-15T23:47:00,28812947,0.00832403341433779,3292,0.999240583232078,0.000303766707168894,0,0,0,0
16,2024-04-15T23:48:00,28812948,0.00781875333027101,3265.5,0.999387536365028,0.000306231817485837,0,0,0,0
17,2024-04-15T23:49:00,28812949,0.00785568491446345,3215,0.999377916018663,0.00031104199066874,0,0,0,0
18,2024-04-15T23:50:00,28812950,0.00815243022891188,3189,0.999294449670743,0.000156788962057071,0,0,0,0
19,2024-04-15T23:51:00,28812951,0.00876062777444511,3334,0.999400119976005,0,0,0,0,0
20,2024-04-15T23:52:00,28812952,0.00918097629780427,3438.5,0.999345644903301,0,0,0,0,0
21,2024-04-15T23:53:00,28812953,0.00891895443223443,3412.5,0.999194139194139,0,0,0,0,0
22,2024-04-15T23:54:00,28812954,0.0122467242921013,3355,0.998584202682563,0.00014903129657228,0,0,0,0
23,2024-04-15T23:55:00,28812955,0.0127527772611369,3333.5,0.998275086245688,0.000299985000749962,0,0,0,0
